hcp_id,first_name,last_name,specialty,facility,years_of_practice,state,city,zip_code,email,phone,territory_id,potential_score,influence_score,created_at
HCP00053,Larry,Edwards,Neurologist,Private Practice,27,TN,Nicholasberg,90524,larry.edwards@jones-decker.com,(215)628-0988x51656,T08,67,6,2023-01-01
HCP00054,Caroline,Bell,Neurologist,Medical Center,4,IL,East Diane,29893,caroline.bell@bell.com,249-636-8998,T07,98,6,2023-01-01
HCP00055,Anthony,Nelson,Cardiologist,Medical Center,17,MA,Sandrastad,01301,anthony.nelson@kane.biz,720-418-3667,T05,73,5,2023-01-01
HCP00056,Mitchell,Griffith,Pulmonologist,Health System,32,PA,North Ericton,88839,mitchell.griffith@nelson.biz,997.664.3815x6149,T04,41,5,2023-01-01
HCP00057,Brandon,Foster,Oncologist,Private Practice,4,MD,North Jamesborough,18488,brandon.foster@roberts-wilson.info,001-862-226-8388x5160,T09,70,10,2023-01-01
HCP00058,Steve,Miller,Cardiologist,Clinic,4,TX,Barbarashire,53509,steve.miller@bowman.com,(897)351-6136,T10,67,6,2023-01-01
HCP00059,Randy,Collins,Rheumatologist,Health System,34,IL,Jeffreyburgh,10512,randy.collins@schultz.com,(923)912-4329x212,T01,69,3,2023-01-01
HCP00060,Karen,Wolf,Primary Care,Hospital,12,FL,Maldonadoshire,84779,karen.wolf@downs.com,(771)377-4490,T10,87,7,2023-01-01
HCP00061,Lance,Hayes,Endocrinologist,Private Practice,26,NY,West Marieland,84998,lance.hayes@gilbert.biz,298.907.9359x782,T10,81,4,2023-01-01
HCP00062,Dale,Nolan,Neurologist,Health System,3,WI,Toniland,66633,dale.nolan@thompson.info,789.325.5466x59051,T02,91,3,2023-01-01
HCP00063,Angela,Hughes,Pulmonologist,Health System,34,NJ,Jenniferberg,44195,angela.hughes@aguilar.com,762-291-4865x2816,T05,78,10,2023-01-01
HCP00064,Michael,White,Neurologist,Clinic,16,NC,West Stacey,64237,michael.white@perez.com,441-888-8059,T07,55,4,2023-01-01
HCP00065,Eric,White,Gastroenterologist,Clinic,30,NJ,Lake Samuel,54353,eric.white@rhodes-young.info,+1-947-638-3473x597,T02,71,4,2023-01-01
HCP00066,Kimberly,Shaw,Cardiologist,Medical Center,7,FL,Burchborough,79755,kimberly.shaw@salas.info,(881)381-4124x782,T09,46,6,2023-01-01
HCP00067,Stacey,Walker,Neurologist,Health System,17,PA,Wilkersontown,54882,stacey.walker@sanders.com,(415)930-5152x2047,T06,54,6,2023-01-01
HCP00068,Shane,Smith,Endocrinologist,Private Practice,24,MI,North Jonathanberg,72433,shane.smith@lynch.com,510-436-9711x7980,T03,56,9,2023-01-01
HCP00069,Kelly,Smith,Rheumatologist,Health System,20,WI,Johnchester,25052,kelly.smith@barnett.net,+1-788-680-6706,T09,58,5,2023-01-01
HCP00070,Julie,Kelly,Cardiologist,Health System,20,NY,West Johnville,76772,julie.kelly@sherman.com,+1-227-772-2170x4303,T03,82,3,2023-01-01
HCP00071,Sarah,Robertson,Oncologist,Hospital,7,MO,Kingborough,38002,sarah.robertson@atkins-williams.com,615-366-7652x775,T03,73,8,2023-01-01
HCP00072,Jessica,Miller,Oncologist,Clinic,14,NJ,New Kelly,13948,jessica.miller@murphy.com,296.327.5705x964,T04,45,6,2023-01-01
HCP00073,Emily,Sullivan,Pediatrician,Clinic,33,TN,North Douglas,80136,emily.sullivan@harrington.com,(469)709-2755x719,T05,73,7,2023-01-01
HCP00074,Raymond,Banks,Cardiologist,Hospital,28,NC,North Anthony,24886,raymond.banks@holmes-mcintyre.com,447-939-4731x217,T01,51,3,2023-01-01
HCP00075,Wendy,Cochran,Cardiologist,Clinic,9,NC,Elizabethland,72590,wendy.cochran@roberts.com,(783)913-2370x589,T03,77,6,2023-01-01
HCP00076,Linda,Arnold,Geriatrician,Medical Center,28,MO,North Kylefort,69404,linda.arnold@hammond-morrow.com,(451)477-8528,T01,73,6,2023-01-01
HCP00077,Ryan,Bartlett,Endocrinologist,Hospital,10,MO,Port Davidberg,40363,ryan.bartlett@martin.com,(384)414-3842x498,T01,59,6,2023-01-01
HCP00078,Brittany,Carpenter,Psychiatrist,Health System,10,AZ,Lake Claudia,79817,brittany.carpenter@kirby-elliott.com,909-643-9690,T03,74,4,2023-01-01
HCP00079,Dawn,Turner,Cardiologist,Clinic,24,TX,Port Lindsay,53728,dawn.turner@chavez-barker.com,467.773.5925x556,T06,97,6,2023-01-01
HCP00080,Zachary,Rodriguez,Neurologist,Private Practice,7,VA,South David,59430,zachary.rodriguez@thomas.com,(996)632-5953x2787,T09,52,7,2023-01-01
HCP00081,Tyler,Davis,Pulmonologist,Health System,10,GA,Wagnerbury,28700,tyler.davis@gomez.info,580-716-2456x5060,T03,55,7,2023-01-01
HCP00082,Angela,Jones,Gastroenterologist,Medical Center,2,IL,Duranview,82190,angela.jones@carr.com,985-923-9868x00025,T06,87,4,2023-01-01
HCP00083,Eduardo,Barry,Pulmonologist,Private Practice,18,IL,West Sarah,42251,eduardo.barry@long.com,001-258-788-7947,T02,84,6,2023-01-01
HCP00084,Mark,Rodriguez,Pulmonologist,Hospital,31,GA,Silvatown,78739,mark.rodriguez@baker-rios.org,001-430-597-2896,T04,82,9,2023-01-01
HCP00085,Anthony,Vaughan,Rheumatologist,Clinic,20,GA,East Andrewmouth,55391,anthony.vaughan@gutierrez.biz,997.702.8385x78652,T04,66,4,2023-01-01
HCP00086,Amy,Lowe,Cardiologist,Private Practice,26,NJ,Chelseaborough,32812,amy.lowe@grant-walker.com,001-843-775-7584x41986,T05,56,4,2023-01-01
HCP00087,Stephanie,Ballard,Endocrinologist,Clinic,23,IN,Bobbyland,45899,stephanie.ballard@douglas-burgess.com,584.584.2199,T07,68,6,2023-01-01
HCP00088,Brent,Stein,Pediatrician,Health System,22,CA,Lake Jesse,13634,brent.stein@rivera-kennedy.com,6822677345,T02,74,7,2023-01-01
HCP00089,Rebecca,Davis,Oncologist,Private Practice,17,TX,New Joanne,05389,rebecca.davis@butler.com,(972)440-0499x1547,T02,70,8,2023-01-01
HCP00090,Melissa,Mcdonald,Internal Medicine,Medical Center,23,NJ,Port Daniel,21799,melissa.mcdonald@stevens.com,493-929-6685x1612,T07,66,10,2023-01-01
HCP00091,Marcus,Wright,Internal Medicine,Health System,8,WA,Patrickmouth,99297,marcus.wright@finley-turner.org,8456301742,T10,79,4,2023-01-01
HCP00092,Hannah,Fowler,Neurologist,Clinic,3,AZ,Michaelbury,29222,hannah.fowler@mendoza.org,(768)378-3391x878,T01,53,6,2023-01-01
HCP00093,Samantha,Rodriguez,Primary Care,Health System,13,VA,New Amanda,22067,samantha.rodriguez@bond-ramos.com,001-297-918-7072x867,T07,66,7,2023-01-01
HCP00094,Emily,Parker,Endocrinologist,Clinic,21,NY,South Jonathantown,98255,emily.parker@lane.biz,(718)801-7046x226,T05,77,5,2023-01-01
HCP00095,Shane,Stark,Primary Care,Clinic,27,NJ,Bennettside,17932,shane.stark@dalton.biz,723.400.4786x86337,T07,57,2,2023-01-01
HCP00096,Joshua,Pineda,Geriatrician,Clinic,9,OH,North Lisachester,81100,joshua.pineda@allen.com,+1-207-490-3067x383,T07,63,7,2023-01-01
HCP00097,William,Roberts,Pediatrician,Medical Center,12,WI,Barbaramouth,31552,william.roberts@walter-odom.net,964.240.8926,T10,73,3,2023-01-01
HCP00098,Teresa,David,Oncologist,Medical Center,1,MI,Floydmouth,91767,teresa.david@russell-evans.com,001-487-833-4270x86688,T05,72,6,2023-01-01
HCP00099,John,Harris,Neurologist,Medical Center,21,MA,South Melanieland,70707,john.harris@calderon.org,+1-501-539-8373x540,T08,56,6,2023-01-01
HCP00100,Suzanne,Wilson,Rheumatologist,Private Practice,33,TN,Rochaborough,52488,suzanne.wilson@arnold.biz,585.744.5877x175,T03,70,3,2023-01-01
HCP00101,Lawrence,Williams,Pediatrician,Hospital,19,IN,Lake Dustin,34681,lawrence.williams@donovan.com,653.969.3785,T10,75,7,2023-01-01
HCP00102,Tammy,May,Psychiatrist,Hospital,16,MI,Murraystad,22686,tammy.may@cortez.com,+1-508-301-0062,T04,86,8,2023-01-01
HCP00103,Jasmine,Smith,Neurologist,Private Practice,2,TX,Brooksfort,86914,jasmine.smith@smith-patel.biz,4083484086,T04,49,4,2023-01-01
HCP00104,Samantha,Warren,Rheumatologist,Health System,5,MA,East Christine,33585,samantha.warren@adams-sanders.com,(979)233-4101x6668,T07,77,7,2023-01-01
HCP00105,Dana,Warner,Pediatrician,Health System,13,WA,South Meganmouth,74668,dana.warner@jacobson.com,297.440.1489,T08,77,10,2023-01-01
HCP00106,Sarah,Edwards,Pulmonologist,Private Practice,10,CA,New Douglas,93917,sarah.edwards@hickman-evans.org,796.285.6218,T02,78,8,2023-01-01
HCP00107,Connor,Hall,Pulmonologist,Private Practice,12,IN,West Cassiefurt,43279,connor.hall@walters.info,658.566.2961,T08,84,7,2023-01-01
HCP00108,Jennifer,Miller,Cardiologist,Health System,16,NY,South Jennifer,83587,jennifer.miller@singh.com,310-447-5412,T08,65,7,2023-01-01
HCP00109,Ryan,Hawkins,Gastroenterologist,Medical Center,34,MO,Garcialand,46889,ryan.hawkins@davis.biz,4468618398,T10,58,5,2023-01-01
HCP00110,Gavin,Adams,Psychiatrist,Medical Center,33,AZ,Trevorland,22417,gavin.adams@hill-evans.com,(843)779-9371x240,T09,62,6,2023-01-01
HCP00111,Meagan,James,Rheumatologist,Private Practice,31,MA,Scottchester,85833,meagan.james@taylor.com,752.365.4793x5646,T05,100,2,2023-01-01
HCP00112,Sarah,Gonzalez,Neurologist,Clinic,34,TN,Lake Katrina,04028,sarah.gonzalez@murray.com,001-916-972-4342x661,T04,80,2,2023-01-01
HCP00113,Brandi,Ferguson,Oncologist,Medical Center,5,MI,Stephensstad,92465,brandi.ferguson@wheeler.com,+1-552-990-9656x10143,T04,62,8,2023-01-01
HCP00114,Neil,Ford,Oncologist,Clinic,21,MO,West Whitney,63778,neil.ford@phillips.com,001-925-745-7387x5717,T02,70,3,2023-01-01
HCP00115,Carlos,Williams,Gastroenterologist,Private Practice,15,WA,North Melindaville,89255,carlos.williams@spears.com,228.525.8673x62266,T03,59,7,2023-01-01
HCP00116,Shannon,Jordan,Geriatrician,Private Practice,5,AZ,Lake Jasonview,99109,shannon.jordan@stokes.net,(755)837-1478,T07,59,6,2023-01-01
HCP00117,Cheryl,Matthews,Psychiatrist,Health System,30,AZ,Michaelmouth,81419,cheryl.matthews@cervantes.com,+1-891-825-1341x252,T01,70,4,2023-01-01
HCP00118,Candace,Andrews,Neurologist,Medical Center,25,MD,Lopezside,91390,candace.andrews@arias.com,(425)579-0507,T01,100,7,2023-01-01
HCP00119,Lisa,Maynard,Internal Medicine,Medical Center,31,CA,Ortizfort,54978,lisa.maynard@larsen.com,001-334-304-3842x79788,T06,39,6,2023-01-01
HCP00120,Joseph,Daniels,Oncologist,Medical Center,27,MO,Amberton,94739,joseph.daniels@payne-fritz.com,001-734-807-4517x1339,T09,60,7,2023-01-01
HCP00121,Gabriel,Taylor,Internal Medicine,Private Practice,32,GA,Port Jamie,08281,gabriel.taylor@bell.com,001-444-594-8126x042,T05,58,5,2023-01-01
HCP00122,Dustin,Morris,Pulmonologist,Medical Center,2,WA,Port Megan,51973,dustin.morris@thomas-chen.biz,(371)916-8457x7590,T06,77,7,2023-01-01
HCP00123,Cynthia,Terry,Pediatrician,Medical Center,11,MA,Port Amandaborough,56815,cynthia.terry@simpson.com,989-929-7500x17012,T03,51,5,2023-01-01
HCP00124,Aaron,Rubio,Internal Medicine,Health System,2,WA,Lake Regina,85697,aaron.rubio@moore-cantu.com,554-815-2064,T10,62,4,2023-01-01
HCP00125,Diana,Padilla,Internal Medicine,Hospital,6,AZ,East Thomasberg,78315,diana.padilla@stone.com,3513627136,T03,96,6,2023-01-01
HCP00126,Dakota,Richardson,Rheumatologist,Private Practice,4,NC,Derrickberg,84593,dakota.richardson@thomas.com,853.726.9731x121,T07,51,7,2023-01-01
HCP00127,Sylvia,Edwards,Psychiatrist,Private Practice,30,NJ,East Joshua,11543,sylvia.edwards@tran.org,804-338-9836x4037,T06,100,8,2023-01-01
HCP00128,John,Little,Pulmonologist,Clinic,27,NC,New Pamelatown,47830,john.little@anderson-valencia.org,(858)627-1091x04300,T02,47,5,2023-01-01
HCP00129,Courtney,Mason,Rheumatologist,Hospital,35,TX,Hendersonfurt,11304,courtney.mason@herrera.com,683-828-5691,T06,89,4,2023-01-01
HCP00130,Jessica,Mathis,Neurologist,Hospital,3,CA,East Christopherchester,15703,jessica.mathis@salazar-brown.com,602-402-7588,T04,76,7,2023-01-01
HCP00131,Nathan,Brady,Neurologist,Hospital,10,GA,Jessicaville,04348,nathan.brady@roman-nelson.com,491-677-8507x925,T03,56,5,2023-01-01
HCP00132,Kerri,Shannon,Rheumatologist,Hospital,14,MA,East Joycetown,06273,kerri.shannon@sanchez.com,(722)308-6353x6541,T05,21,3,2023-01-01
HCP00133,Wayne,Winters,Psychiatrist,Private Practice,8,IL,East Linda,06520,wayne.winters@jones-marshall.com,001-945-718-7053x49493,T05,66,3,2023-01-01
HCP00134,Brittany,Snyder,Endocrinologist,Health System,2,MI,Lake Rachel,32630,brittany.snyder@smith.com,585.505.0641,T10,94,3,2023-01-01
HCP00135,Robert,Woodward,Pediatrician,Medical Center,26,OH,Lake Joshua,06255,robert.woodward@merritt.biz,001-257-819-1826x199,T02,63,6,2023-01-01
HCP00136,Elaine,Anderson,Internal Medicine,Private Practice,7,MI,Josemouth,52006,elaine.anderson@decker.com,932-791-2127,T10,91,3,2023-01-01
HCP00137,Richard,Herrera,Endocrinologist,Health System,3,VA,South Kyle,35236,richard.herrera@davis.com,001-690-635-2135x680,T09,87,6,2023-01-01
HCP00138,Lori,Thompson,Pulmonologist,Clinic,5,IN,Bondside,98553,lori.thompson@wright.com,600-332-3651,T06,55,6,2023-01-01
HCP00139,Andrew,Brown,Cardiologist,Medical Center,32,NY,Lambland,43957,andrew.brown@williams.com,(796)567-0662,T07,72,4,2023-01-01
HCP00140,Rebekah,Hill,Psychiatrist,Medical Center,10,AZ,Stephensonton,80993,rebekah.hill@jensen.net,701.946.2638x3806,T03,71,5,2023-01-01
HCP00141,Amy,Washington,Geriatrician,Health System,18,WI,Paulburgh,03917,amy.washington@harper-johnson.com,5786593213,T09,71,7,2023-01-01
HCP00142,Amanda,Moody,Rheumatologist,Medical Center,28,MD,Port Wendybury,75958,amanda.moody@kelly-combs.com,(439)555-9059,T05,93,3,2023-01-01
HCP00143,Mary,Cochran,Psychiatrist,Private Practice,6,NC,Weaverburgh,64783,mary.cochran@davis.org,708.470.5932,T08,100,2,2023-01-01
HCP00144,Samantha,Richard,Neurologist,Medical Center,25,NJ,Brianberg,77389,samantha.richard@stark.com,456-891-5452,T01,67,7,2023-01-01
HCP00145,Latoya,Yu,Rheumatologist,Clinic,12,TN,Grantside,91407,latoya.yu@buchanan.com,(544)322-0969x0295,T04,74,4,2023-01-01
HCP00146,Sharon,Taylor,Psychiatrist,Clinic,22,NC,East Michaelmouth,22506,sharon.taylor@mcclure.com,904.833.1541x006,T10,66,5,2023-01-01
HCP00147,Tanya,Wilkerson,Geriatrician,Clinic,1,IN,Maciasstad,72069,tanya.wilkerson@garcia-mendoza.org,+1-432-871-0405x4115,T04,61,7,2023-01-01
HCP00148,Eugene,Jones,Endocrinologist,Private Practice,27,TN,West Brookefort,92841,eugene.jones@reynolds.com,+1-662-601-5336x884,T09,75,4,2023-01-01
HCP00149,John,Williams,Neurologist,Medical Center,32,MA,Hernandezstad,01001,john.williams@miller-colon.org,931.603.2417x1467,T01,83,6,2023-01-01
HCP00150,Christopher,Stephens,Endocrinologist,Clinic,15,WA,West Nicole,48919,christopher.stephens@griffin.info,543.249.0211x586,T04,82,7,2023-01-01
HCP00151,Mary,Cardenas,Oncologist,Health System,24,TN,Sheppardfort,75567,mary.cardenas@alvarez.biz,001-508-598-9921x722,T09,57,4,2023-01-01
HCP00152,David,Henderson,Primary Care,Clinic,28,MO,Harrisberg,78495,david.henderson@flores-acosta.com,268-868-5487,T06,81,7,2023-01-01
HCP00153,Daniel,Hernandez,Psychiatrist,Medical Center,18,MI,North Annaville,37999,daniel.hernandez@beard.info,001-897-202-4629,T05,69,6,2023-01-01
HCP00154,Randy,Koch,Neurologist,Hospital,13,NJ,North Julie,35704,randy.koch@smith-roth.com,547-913-2475x4691,T02,89,4,2023-01-01
HCP00155,Jason,Holloway,Geriatrician,Health System,12,OH,Malonestad,07868,jason.holloway@moody.biz,(289)902-3303,T04,78,5,2023-01-01
HCP00156,Brent,Ward,Geriatrician,Medical Center,18,MD,West Micheal,61347,brent.ward@sanders.com,(379)672-7985x524,T09,66,8,2023-01-01
HCP00157,Anthony,Williams,Internal Medicine,Clinic,7,OH,Port Jeffrey,30006,anthony.williams@clark.com,922.690.3494x4665,T05,82,7,2023-01-01
HCP00158,Jeffery,Turner,Neurologist,Clinic,12,MI,Silvatown,67546,jeffery.turner@levy.org,+1-544-417-1545x444,T01,89,6,2023-01-01
HCP00159,Zachary,Allen,Geriatrician,Health System,9,NC,Port Meredithfurt,87078,zachary.allen@becker-griffith.info,746-666-0993x5387,T01,80,5,2023-01-01
HCP00160,Megan,Pittman,Cardiologist,Health System,19,PA,West Connor,17270,megan.pittman@green.com,+1-351-935-3465x54947,T08,74,5,2023-01-01
HCP00161,Brian,Walters,Endocrinologist,Hospital,19,TN,South Pamelahaven,16205,brian.walters@james.com,(335)969-7252,T08,71,7,2023-01-01
HCP00162,Marvin,Hatfield,Rheumatologist,Clinic,12,TX,Cynthiatown,59752,marvin.hatfield@clark-ayala.org,001-527-712-9666x67600,T05,57,10,2023-01-01
HCP00163,Stephanie,Mcclain,Rheumatologist,Hospital,5,WA,North Erica,82642,stephanie.mcclain@wright.com,668-994-2104,T08,54,3,2023-01-01
HCP00164,Jessica,Carlson,Endocrinologist,Health System,4,PA,Ryanberg,45423,jessica.carlson@howard-lopez.biz,3337230982,T03,87,7,2023-01-01
HCP00165,Jennifer,Conner,Internal Medicine,Clinic,6,GA,Mcdowellview,70589,jennifer.conner@williams.com,4165761847,T02,79,7,2023-01-01
HCP00166,Heather,Mccoy,Primary Care,Medical Center,15,IN,Robertville,87333,heather.mccoy@nelson.com,891.641.1739x34835,T07,69,4,2023-01-01
HCP00167,Ethan,Kelley,Rheumatologist,Medical Center,20,MD,Lake Sarah,43833,ethan.kelley@smith.com,597-921-8114,T07,71,4,2023-01-01
HCP00168,Vanessa,Phillips,Oncologist,Health System,4,WI,Williamsburgh,05671,vanessa.phillips@ward-rhodes.biz,001-711-700-2255x7941,T02,84,5,2023-01-01
HCP00169,Ian,Morales,Neurologist,Private Practice,17,FL,Nelsonfurt,90927,ian.morales@marsh-banks.com,920-421-6979,T03,57,5,2023-01-01
HCP00170,Cheryl,Maxwell,Neurologist,Private Practice,5,IL,Port Gabrielleberg,63819,cheryl.maxwell@rodriguez-jenkins.com,345-808-9935,T01,76,4,2023-01-01
HCP00171,Dorothy,Wright,Pulmonologist,Medical Center,31,MI,Elizabethfurt,19985,dorothy.wright@mcclain.com,877.821.7535x40838,T01,57,6,2023-01-01
HCP00172,Lisa,Miller,Neurologist,Clinic,19,MA,Solismouth,12037,lisa.miller@west-wilson.info,001-501-966-0880x1994,T02,73,4,2023-01-01
